time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
61.2452,43049.0,43049.0,1.15880060,1.07939613,0.07940462,0.13051355,5.92290211,0.40147513,2.41592336,71.15,74.81,702.9,697.4
9.8760,48702.0,91751.0,1.25442147,1.17494857,0.07947289,0.15885662,5.88091850,0.48814377,2.39712238,75.92,79.52,4931.4,1281.1
9.5268,33600.0,125351.0,1.22271991,1.14166129,0.08105862,0.11822537,6.23491240,0.50032234,2.33064795,75.92,79.52,3526.9,1543.8
9.5778,49514.0,174865.0,1.26114690,1.18183887,0.07930817,0.13902685,5.82677031,0.49952284,1.85169780,75.92,79.52,5169.7,1925.3
9.4353,47889.0,222754.0,1.23011506,1.15387905,0.07623609,0.13415737,5.71505070,0.47798112,2.80651593,75.92,79.52,5075.5,2219.6
25.9740,48519.0,271273.0,1.13594484,1.05734360,0.07860113,0.12630002,6.11418676,0.48574886,3.59815335,75.92,79.52,1868.0,2146.5
9.3702,33594.0,304867.0,1.28914547,1.21793664,0.07120890,0.15461114,5.14730883,0.50031769,3.81379867,75.92,79.52,3585.2,2245.0
9.3929,33600.0,338467.0,1.17669225,1.10806191,0.06863033,0.13760696,4.81414604,0.50032234,2.05669594,75.92,79.52,3577.2,2330.5
9.3887,33600.0,372067.0,1.40710425,1.34099340,0.06611080,0.14762641,4.31228542,0.50032234,1.98214924,75.92,79.52,3578.8,2405.5
9.1447,41255.0,413322.0,1.11661947,1.05029917,0.06632023,0.12930562,4.13803005,0.44106519,1.72518706,75.92,79.52,4511.4,2522.2
9.2434,58129.0,471451.0,1.15493417,1.09219468,0.06273950,0.13938215,3.94728804,0.41759476,1.52792978,75.92,79.52,6288.7,2722.6
9.2229,44344.0,515795.0,1.10701799,1.04394615,0.06307185,0.13773520,4.23271179,0.44806033,1.20315230,75.92,79.52,4808.0,2827.2
9.3975,33600.0,549395.0,1.16241264,1.09931278,0.06309981,0.11662302,4.15574408,0.50032234,1.74814653,75.92,79.52,3575.4,2863.1
9.2979,45801.0,595196.0,1.18546402,1.12350416,0.06195992,0.11713684,4.16941547,0.45752195,1.16869605,75.92,79.52,4926.0,2957.7
9.2109,44238.0,639434.0,1.13807714,1.07737434,0.06070279,0.11160135,3.97617793,0.44546455,1.33476126,75.92,79.52,4802.8,3037.7
9.5188,48765.0,688199.0,1.05905807,0.99845850,0.06059944,0.14652801,3.82418013,0.48899376,1.00166047,75.92,79.52,5123.0,3127.2
9.4098,33600.0,721799.0,1.02294922,0.96165711,0.06129214,0.11248772,4.04720306,0.50032234,0.85103470,75.92,79.52,3570.8,3144.7
9.3959,35576.0,757375.0,1.06961107,1.00837553,0.06123564,0.19418225,3.90474010,0.47456101,0.89268732,75.92,79.52,3786.3,3169.3
9.4037,33600.0,790975.0,1.02446413,0.96358681,0.06087732,0.13058558,4.03230953,0.50032234,0.90907872,75.92,79.52,3573.0,3183.9
9.4730,48194.0,839169.0,1.10244250,1.04282653,0.05961597,0.11063033,3.61903930,0.48164731,0.66784430,75.92,79.52,5087.5,3253.2
9.1070,57942.0,897111.0,1.06475949,1.00649440,0.05826524,0.11913570,3.36933208,0.38540676,0.67051154,75.92,79.52,6362.4,3358.6
8.8992,45518.0,942629.0,1.01054287,0.95227104,0.05827186,0.14324501,3.33979702,0.38952085,0.66815108,75.92,79.52,5114.8,3414.6
9.3898,47358.0,989987.0,1.05371785,0.99322802,0.06048986,0.13697891,3.71602535,0.47200814,0.68566138,75.92,79.52,5043.6,3467.6
9.3967,33600.0,1023587.0,1.19982171,1.14333963,0.05648201,0.12881608,3.25561500,0.50032234,0.72366130,75.92,79.52,3575.7,3470.4
9.3293,58616.0,1082203.0,1.16520476,1.10941839,0.05578643,0.15111835,3.17736053,0.43360510,0.82229376,75.92,79.52,6283.0,3556.1
9.3783,33426.0,1115629.0,1.02789783,0.96851861,0.05937919,0.11641208,4.01712990,0.50021571,0.63329136,75.92,79.52,3564.2,3555.7
9.5729,49284.0,1164913.0,1.15348852,1.09762466,0.05586398,0.14662606,3.20409393,0.49620113,0.91715008,75.92,79.52,5148.3,3602.3
9.1902,54793.0,1219706.0,1.13158429,1.07531118,0.05627311,0.11788823,3.31147766,0.41897717,0.61402214,75.92,79.52,5962.1,3667.0
9.4152,33600.0,1253306.0,1.09664392,1.03866971,0.05797410,0.09707963,3.89130187,0.50032234,0.66748351,75.92,79.52,3568.7,3663.7
9.3523,46639.0,1299945.0,1.11826801,1.06136978,0.05689815,0.13247222,3.50620651,0.46475750,0.74845147,75.92,79.52,4986.9,3698.4
9.4847,61438.0,1361383.0,1.13176560,1.07624137,0.05552432,0.11400108,3.18244553,0.45149150,0.56742054,75.92,79.54,6477.6,3770.9
9.5525,48910.0,1410293.0,1.09768510,1.04155982,0.05612522,0.11004567,3.32606316,0.49094161,0.65417081,75.92,79.54,5120.1,3805.1
9.4052,47117.0,1457410.0,1.06691039,1.01076710,0.05614319,0.10484410,3.41048193,0.46948007,0.57283902,75.92,79.54,5009.7,3834.4
9.2556,36785.0,1494195.0,1.01908016,0.96215731,0.05692286,0.10786805,3.73541212,0.46241730,0.50768340,75.92,79.54,3974.3,3837.3
9.4014,47092.0,1541287.0,1.01598048,0.96093804,0.05504233,0.11474756,3.29414940,0.46921682,0.53623748,75.92,79.54,5009.1,3864.4
9.5989,49532.0,1590819.0,1.07323003,1.01635087,0.05687898,0.13891673,3.61564445,0.49973887,0.55538285,75.92,79.54,5160.2,3894.4
9.4015,33600.0,1624419.0,1.13360286,1.07814932,0.05545345,0.09024167,3.36159086,0.50032234,0.48674935,75.92,79.54,3573.9,3886.7
9.4001,33600.0,1658019.0,1.03490162,0.97976685,0.05513477,0.12378611,3.31054306,0.50032234,0.51747990,75.92,79.54,3574.4,3879.4
9.3005,45898.0,1703917.0,1.14640212,1.09087765,0.05552434,0.16447692,3.34805179,0.45828834,0.53338295,75.92,79.54,4935.0,3901.4
9.4089,33600.0,1737517.0,0.97781509,0.92134285,0.05647221,0.09917894,3.89714146,0.50032234,0.49905580,75.92,79.54,3571.1,3894.0
9.2699,45341.0,1782858.0,1.07434654,1.01946914,0.05487743,0.12225260,3.13396502,0.45164230,0.50597256,75.92,79.54,4891.2,3913.8
9.2976,45592.0,1828450.0,1.07146406,1.01761484,0.05384914,0.13938749,3.19722438,0.45592117,0.58342767,75.92,79.54,4903.6,3933.2
9.5746,49202.0,1877652.0,1.09726977,1.04309642,0.05417350,0.14041248,3.24080467,0.49471268,0.62891430,75.92,79.54,5138.8,3957.1
9.4034,33600.0,1911252.0,0.94813991,0.89190853,0.05623152,0.09035999,3.66220737,0.50032234,0.49429807,75.92,79.54,3573.2,3949.2
9.4964,48494.0,1959746.0,1.12618411,1.07143879,0.05474526,0.13251047,3.22899675,0.48542476,0.61260617,75.92,79.54,5106.5,3971.1
9.4634,48210.0,2007956.0,1.07347822,1.01965725,0.05382087,0.10676481,2.99647522,0.48136947,0.43787163,75.92,79.54,5094.4,3991.8
9.2975,59313.0,2067269.0,1.00335145,0.94930208,0.05404946,0.14731571,3.15903926,0.42783409,0.48051405,75.92,79.54,6379.5,4034.8
9.0100,53382.0,2120651.0,1.07401752,1.02049267,0.05352458,0.09259331,3.14872718,0.39056075,0.48592597,75.92,79.54,5924.8,4067.0
9.5694,49162.0,2169813.0,1.02393460,0.96892411,0.05501036,0.09169650,3.45047641,0.49443924,0.52249599,75.92,79.54,5137.4,4085.9
9.4633,48084.0,2217897.0,1.09193659,1.03766882,0.05426782,0.12629704,3.18415070,0.48030424,0.53447086,75.92,79.54,5081.1,4103.0
9.2401,44777.0,2262674.0,1.04307640,0.98869050,0.05438578,0.12116177,3.40037537,0.45045102,0.52665621,75.92,79.54,4846.0,4099.4
9.5831,63238.0,2325912.0,1.11089504,1.05685091,0.05404422,0.11887148,3.21515942,0.46958187,0.60670483,75.92,79.54,6598.9,4141.7
9.2663,45118.0,2371030.0,1.01401532,0.95974308,0.05427220,0.12794933,3.34255672,0.45258731,0.48525742,75.92,79.54,4869.1,4153.1
9.1253,49899.0,2420929.0,1.13020515,1.07695854,0.05324670,0.11409953,3.06166601,0.40895811,0.55421048,75.92,79.54,5468.2,4173.4
9.2510,45003.0,2465932.0,0.99563324,0.94182867,0.05380473,0.12491533,3.07867289,0.45184764,0.54703146,75.92,79.54,4864.7,4183.9
9.4082,33600.0,2499532.0,1.04476106,0.98992300,0.05483809,0.13663310,3.52870321,0.50032234,0.45107773,75.92,79.54,3571.3,4174.0
9.4097,33600.0,2533132.0,1.05766821,1.00350082,0.05416739,0.15100649,3.42730761,0.50032234,0.54745424,75.92,79.54,3570.8,4164.3
9.5585,49160.0,2582292.0,1.12991333,1.07740462,0.05250877,0.12041022,2.97990274,0.49407634,0.43859804,75.92,79.54,5143.1,4179.1
9.4022,33600.0,2615892.0,0.96768534,0.91322035,0.05446506,0.10849693,3.38723063,0.50032234,0.47432902,75.92,79.54,3573.6,4169.7
9.3903,59284.0,2675176.0,1.14037251,1.08781350,0.05255884,0.10385750,2.89986324,0.44187528,0.44370463,75.92,79.55,6313.3,4201.0
9.4057,33599.0,2708775.0,1.11406040,1.06087101,0.05318954,0.10043901,3.12567878,0.50032157,0.45519176,75.92,79.55,3572.2,4191.5
