time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
25.1754,43049.0,43049.0,1.75590432,1.66951287,0.08639128,0.21078673,6.42033100,0.40147513,7.00565386,96.30,99.85,1710.0,1673.5
11.7625,48702.0,91751.0,1.44196439,1.36340284,0.07856151,0.18400081,5.90597677,0.48814377,3.99836707,96.33,112.94,4140.4,2446.1
7.8789,33600.0,125351.0,1.26625609,1.18494976,0.08130645,0.12291610,6.27515554,0.50032234,2.39125490,96.33,112.94,4264.6,2758.8
8.0647,49514.0,174865.0,1.30594933,1.22678328,0.07916606,0.14531420,5.82974625,0.49952284,1.85286629,96.33,113.11,6139.6,3265.3
7.9307,47889.0,222754.0,1.26297367,1.18616211,0.07681160,0.13798539,5.72877407,0.47798112,1.81663346,96.33,113.11,6038.4,3619.7
8.0212,48519.0,271273.0,1.14813137,1.06985617,0.07827521,0.12752244,6.02658367,0.48574886,1.72295189,96.33,113.11,6048.8,3896.9
7.8867,33594.0,304867.0,1.31004810,1.24074161,0.06930658,0.15636927,4.97854328,0.50031769,2.47603774,96.33,113.11,4259.6,3931.4
7.9007,33600.0,338467.0,1.20879865,1.14221489,0.06658363,0.14066112,4.70231819,0.50032234,2.61496544,96.33,113.11,4252.8,3958.8
7.8890,33600.0,372067.0,1.45307970,1.39034379,0.06273586,0.15251294,3.97885132,0.50032234,1.91334093,96.33,113.11,4259.1,3982.0
7.6679,41255.0,413322.0,1.17415655,1.11228740,0.06186930,0.13703905,3.68418503,0.44106519,1.46203828,96.33,113.11,5380.2,4086.0
7.7624,58129.0,471451.0,1.21202612,1.15237987,0.05964633,0.14670554,3.38819575,0.41759476,1.24253082,96.33,114.29,7488.6,4326.4
7.7302,44344.0,515795.0,1.18215668,1.12294662,0.05921016,0.14798097,3.27406597,0.44806033,1.49768651,96.33,114.29,5736.4,4417.9
7.9063,33600.0,549395.0,1.23215866,1.17400062,0.05815810,0.12578596,2.95853758,0.50032234,1.78928626,96.33,114.29,4249.8,4405.4
7.8120,45801.0,595196.0,1.25398123,1.19747496,0.05650631,0.12660915,2.73593426,0.45752195,1.21320927,96.33,114.29,5862.9,4489.6
7.7369,44238.0,639434.0,1.22052979,1.16474140,0.05578854,0.12414271,2.43266344,0.44546455,1.08861768,96.33,114.29,5717.8,4555.6
8.0191,48765.0,688199.0,1.14337170,1.08663595,0.05673575,0.15664218,2.31075382,0.48899376,1.07215953,96.33,114.29,6081.1,4636.5
7.8972,33600.0,721799.0,1.11079955,1.05457699,0.05622240,0.12555309,2.24604273,0.50032234,0.86446869,96.33,114.29,4254.7,4615.7
7.8854,35576.0,757375.0,1.15570891,1.10022163,0.05548733,0.20593625,2.11709428,0.47456101,0.92221630,96.33,114.29,4511.6,4609.2
7.8918,33600.0,790975.0,1.10133171,1.04596329,0.05536848,0.14016595,2.15254736,0.50032234,0.75145078,96.33,114.29,4257.6,4591.7
7.9982,48194.0,839169.0,1.18750501,1.13359547,0.05390954,0.12135860,1.87308884,0.48164731,0.79369789,96.33,114.29,6025.6,4654.0
7.5848,57942.0,897111.0,1.15269041,1.09889412,0.05379627,0.13162228,1.87662876,0.38540676,0.66352737,96.33,114.29,7639.3,4773.2
7.4128,45518.0,942629.0,1.10309947,1.04930115,0.05379831,0.15502433,1.68010664,0.38952085,0.68444312,96.33,114.29,6140.5,4823.8
7.8975,47358.0,989987.0,1.15233076,1.09936845,0.05296230,0.14985839,1.72902107,0.47200814,0.68563181,96.33,114.29,5996.6,4868.2
7.8894,33600.0,1023587.0,1.30690837,1.25494969,0.05195852,0.14484550,1.71534705,0.50032234,0.69600439,96.33,114.29,4258.9,4844.2
7.8125,58616.0,1082203.0,1.26707447,1.21561158,0.05146277,0.16452557,1.52471578,0.43360510,0.68441147,96.33,114.32,7502.9,4937.9
7.8763,33426.0,1115629.0,1.13984954,1.08628356,0.05356615,0.13180861,1.61341333,0.50021571,0.70568079,96.33,114.32,4243.9,4912.7
8.0520,49284.0,1164913.0,1.25667453,1.20510757,0.05156695,0.15968022,1.51282156,0.49620113,0.65682173,96.33,114.32,6120.7,4953.0
7.6942,54793.0,1219706.0,1.23603475,1.18504047,0.05099424,0.13178688,1.35423541,0.41897717,0.70974642,96.33,114.32,7121.4,5020.6
7.8882,33600.0,1253306.0,1.20599079,1.15445244,0.05153823,0.11056614,1.59798372,0.50032234,0.59341455,96.33,114.32,4259.5,4995.6
7.8246,46639.0,1299945.0,1.22815859,1.17675793,0.05140065,0.14613202,1.52676284,0.46475750,0.69574010,96.33,114.32,5960.6,5023.8
7.9523,61438.0,1361383.0,1.24004483,1.18937290,0.05067190,0.12952390,1.17638397,0.45149150,0.55532366,96.33,114.58,7725.8,5103.4
8.0114,48910.0,1410293.0,1.20436502,1.15276325,0.05160173,0.12499779,1.20851982,0.49094161,0.61302406,96.33,114.58,6105.1,5131.6
7.9019,47117.0,1457410.0,1.17094135,1.12006986,0.05087155,0.11752616,1.18552399,0.46948007,0.55985278,96.33,114.58,5962.8,5153.9
7.7430,36785.0,1494195.0,1.12573409,1.07431412,0.05141992,0.11952522,1.20439386,0.46241730,0.55123675,96.33,114.58,4750.7,5142.2
7.8902,47092.0,1541287.0,1.12263036,1.07217646,0.05045386,0.12875089,0.99680996,0.46921682,0.57091516,96.33,114.58,5968.4,5163.2
8.0463,49532.0,1590819.0,1.18021607,1.13009024,0.05012580,0.15301788,1.18635178,0.49973887,0.54748392,96.33,114.58,6155.8,5188.4
7.8917,33600.0,1624419.0,1.24276423,1.19275808,0.05000609,0.10412517,1.22842956,0.50032234,0.56263995,96.33,114.58,4257.7,5164.2
7.8834,33600.0,1658019.0,1.13971531,1.08945549,0.05025989,0.13728824,1.18467903,0.50032234,0.60908121,96.33,114.58,4262.1,5141.3
7.7919,45898.0,1703917.0,1.24882245,1.19945908,0.04936340,0.17780980,1.13961434,0.45828834,0.50146681,96.33,114.58,5890.5,5158.2
7.8716,33600.0,1737517.0,1.08486831,1.03433311,0.05053525,0.11320497,1.19624901,0.50032234,0.58493334,96.33,114.58,4268.5,5136.7
7.7598,45341.0,1782858.0,1.17977881,1.13030446,0.04947437,0.13477571,0.97944421,0.45164230,0.46855858,96.33,114.58,5843.0,5151.8
7.7731,45592.0,1828450.0,1.17730522,1.12829483,0.04901040,0.15313059,0.92223585,0.45592117,0.49491024,96.33,114.58,5865.4,5166.7
8.0495,49202.0,1877652.0,1.20343757,1.15408218,0.04935553,0.15568180,1.09018421,0.49471268,0.49097887,96.33,114.58,6112.5,5187.0
7.8771,33600.0,1911252.0,1.05556309,1.00422370,0.05133950,0.10251751,1.10508680,0.50032234,0.54140657,96.33,114.58,4265.5,5166.6
7.9692,48494.0,1959746.0,1.23548961,1.18595457,0.04953507,0.14731990,1.00148761,0.48542476,0.61972606,96.33,114.58,6085.2,5185.3
7.9572,48210.0,2007956.0,1.17389679,1.12458622,0.04931042,0.12059997,0.96449363,0.48136947,0.50633723,96.33,114.58,6058.6,5202.6
7.7803,59313.0,2067269.0,1.10050178,1.05103743,0.04946429,0.15997279,0.73381013,0.42783409,0.48752570,96.33,114.58,7623.5,5249.8
7.5041,53382.0,2120651.0,1.17232752,1.12316525,0.04916221,0.10440943,0.86206508,0.39056075,0.52652901,96.33,114.58,7113.7,5283.9
8.0539,49162.0,2169813.0,1.12712538,1.07781398,0.04931146,0.10469714,0.80873007,0.49443924,0.49838457,96.33,114.58,6104.2,5299.4
7.9325,48084.0,2217897.0,1.19341981,1.14456177,0.04885805,0.13921769,0.80608624,0.48030424,0.54775643,96.33,114.58,6061.6,5313.2
7.7581,44777.0,2262674.0,1.13803041,1.08896923,0.04906116,0.13342507,0.92434657,0.45045102,0.47864154,96.27,114.58,5771.6,5311.9
8.0552,63238.0,2325912.0,1.21195364,1.16340780,0.04854584,0.13053954,0.85625237,0.46958187,0.54529560,96.27,114.68,7850.6,5358.3
7.7555,45118.0,2371030.0,1.11686254,1.06765115,0.04921141,0.14217281,0.82903254,0.45258731,0.47141996,96.27,114.68,5817.6,5365.8
7.6029,49899.0,2420929.0,1.22961664,1.18118334,0.04843327,0.12661465,1.00793552,0.40895811,0.50414276,96.27,114.68,6563.1,5385.4
7.7435,45003.0,2465932.0,1.09549975,1.04608548,0.04941431,0.13988179,0.75153434,0.45184764,0.47815993,96.27,114.68,5811.7,5392.0
7.8811,33600.0,2499532.0,1.14328420,1.09409320,0.04919098,0.15092221,1.07384729,0.50032234,0.50775427,96.27,114.68,4263.4,5372.3
7.8833,33600.0,2533132.0,1.16721380,1.11840403,0.04880974,0.16928172,0.83781016,0.50032234,0.53635472,96.27,114.68,4262.2,5353.2
8.0338,49160.0,2582292.0,1.23574603,1.18731892,0.04842708,0.13158049,1.04675603,0.49407634,0.58679295,96.27,114.68,6119.1,5365.4
7.8877,33600.0,2615892.0,1.06938100,1.01998520,0.04939583,0.12111064,0.82934660,0.50032234,0.55164582,96.27,114.68,4259.8,5347.0
